Date,India,Philippines,China,Syria,Nigeria,Pakistan,USA,France,Iran,Afghanistan,Eritrea,UK,Korea,Brazil,Mexico,Vietnam,Jamaica,Iraq,Algeria,Morocco,Bangladesh,Cameroon,Egypt,Ukraine,Colombia,Haiti,Congo,Lebanon,Tunisia,Turkey
01/01/2015,1560,2535,950,110,260,505,455,300,1060,90,115,320,175,100,195,90,180,70,80,125,110,75,175,120,125,105,70,105,50,50
01/02/2015,3540,6415,2520,330,570,1210,905,615,2110,215,285,625,410,215,380,255,355,260,205,280,255,160,340,275,325,235,175,190,115,115
01/03/2015,6170,10350,4175,745,950,2220,1375,1130,3840,435,535,1025,805,370,650,435,635,450,440,560,570,310,585,435,590,420,350,355,195,175
01/04/2015,9135,14910,5590,930,1275,3035,1940,1735,4770,570,700,1460,1290,525,935,590,920,620,695,820,830,460,850,590,815,585,425,510,335,230
01/05/2015,12615,20085,7030,1195,1565,4215,2680,2260,5865,790,850,1920,1670,740,1205,740,1260,950,1035,1090,1155,620,1260,750,1025,825,550,715,430,305
01/06/2015,16810,25660,8790,1725,1860,5310,3430,2935,7360,985,1105,2420,2070,915,1470,930,1605,1315,1315,1280,1445,820,1755,955,1255,1090,685,965,535,395
01/07/2015,21470,30445,10890,1975,2250,6500,4190,3615,8595,1235,1300,2875,2465,1135,1775,1180,2005,1850,1625,1635,1725,1135,2320,1185,1450,1345,780,1275,665,500
01/08/2015,25115,34650,12665,2205,2720,7560,5045,4355,9285,1380,1465,3450,2860,1300,2125,1385,2360,2135,1905,1850,2015,1295,2775,1445,1615,1565,870,1460,795,575
01/09/2015,29635,39890,14475,2685,3110,8665,5705,4790,10045,1755,1640,3960,3185,1435,2465,1815,2640,2595,2260,2115,2360,1520,3190,1725,1750,1845,1040,1665,945,680
01/10/2015,33495,43910,16485,3355,3460,9595,6335,5180,10745,2025,1815,4510,3585,1545,2715,2115,2885,3095,2485,2375,2825,1650,3430,1970,1890,2045,1215,1810,1070,740
01/11/2015,36580,47740,17935,3870,3720,10470,6965,5500,11195,2360,2045,4960,3880,1635,2975,2385,3110,3650,2655,2555,3075,1830,3585,2165,2020,2305,1395,1925,1175,805
01/12/2015,39335,50845,19455,9850,4095,11300,7655,5840,11630,2625,2210,5360,4105,1730,3220,2600,3420,3980,2830,2710,3310,2030,3760,2345,2180,2715,1675,2105,1275,870
01/01/2016,41720,53780,21155,19080,4355,11970,8355,6300,12055,2840,2440,5965,4510,1855,3520,2820,3670,4145,2925,2835,3550,2165,3960,2530,2340,2970,1785,2225,1350,930
01/02/2016,44875,57190,23240,29925,4625,12910,9120,6980,12515,3135,2690,6535,4985,2000,3885,3035,3910,4305,3025,3000,3860,2320,4175,2805,2525,3170,1925,2355,1440,1015
01/03/2016,49580,61465,25670,30355,4995,14130,9950,7730,13320,3395,2955,7160,5435,2190,4255,3325,4200,4545,3240,3205,4205,2490,4515,3150,2735,3435,2135,2575,1540,1100
01/04/2016,54625,66575,28635,31190,5410,15280,10760,8285,13990,3680,3310,7705,5765,2325,4585,3530,4450,4775,3540,3405,4525,2610,4825,3450,3020,3750,2320,2755,1640,1170
01/05/2016,59595,71665,30830,32190,5990,16640,11625,8975,14755,3880,3780,8315,6185,2480,4925,3735,4770,5085,3870,3590,4795,2795,5155,3795,3260,4045,2650,2955,1800,1270
01/06/2016,64345,76380,34010,33425,6605,17850,12510,9705,15710,4135,4260,8850,6615,2695,5235,3990,5090,5525,4115,3780,5060,2990,5490,4205,3530,4380,3005,3175,1910,1390
01/07/2016,67590,80210,36970,34495,7130,19080,13335,10305,16335,4345,4590,9370,6935,2865,5580,4240,5470,5780,4700,4065,5385,3235,5975,4495,3790,4670,3250,3390,2090,1490
01/08/2016,69785,83155,39415,35300,7530,19960,14060,10855,16800,4470,5425,9850,7145,2980,5835,4405,5820,6060,4955,4235,5600,3440,6270,4795,4005,4935,3380,3590,2210,1580
01/09/2016,72095,86230,41515,36975,7890,20665,14685,11210,17165,4745,5785,10245,7360,3085,6075,4590,6095,6190,5175,4375,5850,3655,6505,5085,4165,5155,3655,3755,2310,1640
01/10/2016,74490,88145,43390,38965,8145,21485,15250,11535,17555,5000,6210,10585,7550,3195,6285,4750,6300,6270,5365,4560,6120,3820,6630,5310,4395,5355,3840,3860,2405,1690
01/11/2016,76540,89960,44845,41370,8320,22060,15680,11770,17835,5160,6585,10820,7795,3310,6485,4875,6545,6335,5495,4690,6345,3975,6740,5510,4535,5530,4015,3930,2475,1735
01/12/2016,79040,92695,46240,44855,8510,22650,16135,12230,18095,5280,6865,11170,8115,3455,6610,5050,6980,6400,5645,4820,6540,4130,6850,5690,4625,5645,4165,4020,2580,1790
01/01/2017,82390,96445,48500,45425,8810,23140,16895,12855,18360,5510,7320,11840,8635,3640,7040,5195,7345,6555,5785,4960,6725,4300,6975,5955,4760,5770,4265,4090,2680,1870
01/02/2017,85790,99765,51005,46675,9040,23765,17610,13515,18750,5885,7855,12330,9085,3805,7340,5390,7710,7000,5905,5135,6930,4490,7155,6250,4955,5875,4390,4150,2765,1955
01/03/2017,90130,103355,54030,49110,9385,24490,18480,14230,19500,6210,8505,12785,9525,3960,7630,5640,8100,7270,6175,5370,7225,4695,7360,6615,5230,6045,4575,4265,2905,2045
01/04/2017,93975,107785,57250,50340,9650,25135,19250,14835,19925,6540,8855,13190,9835,4165,7890,5840,8370,7550,6455,5590,7500,4880,7555,6890,5435,6285,4730,4345,3020,2120
01/05/2017,98230,112285,59750,51390,9930,25780,19995,15390,20435,6750,9295,13635,10140,4375,8140,6050,8665,8010,6665,5860,7850,5065,7775,7190,5695,6495,5025,4440,3170,2195
01/06/2017,102865,116640,62710,52465,10295,26475,20845,16035,21100,6960,9640,14015,10470,4600,8410,6365,8955,8500,6915,6115,8155,5360,8110,7570,5910,6760,5315,4600,3260,2285
01/07/2017,107095,120020,65445,53390,10790,27275,21500,16580,21640,7270,10130,14355,10730,4835,8675,6605,9285,9185,7420,6345,8545,5575,8420,7835,6170,7020,5580,4810,3465,2405
01/08/2017,111055,122950,68160,53975,11270,27920,22295,17185,21935,7550,10435,14800,10995,5135,8950,6835,9560,9495,7625,6515,8795,5720,8755,8065,6335,7195,5690,4930,3575,2500
01/09/2017,115815,125745,70465,54805,11905,28535,22895,17660,22195,7785,10665,15170,11200,5430,9135,7025,9865,9940,7840,6655,9090,5915,9030,8345,6445,7355,5995,5085,3750,2585
01/10/2017,120785,127885,72875,55610,12585,29095,23650,18070,22445,8075,10900,15600,11490,5700,9355,7210,10105,10195,7985,6785,9320,6070,9265,8560,6545,7535,6100,5200,3845,2690
01/11/2017,125655,130265,74485,56230,13130,29605,24355,18440,22630,8480,11160,15980,11775,5950,9535,7350,10355,10580,8130,6910,9465,6255,9470,8775,6670,7795,6285,5285,3920,2810
01/12/2017,130625,133595,76490,56915,13955,30305,25275,18850,22830,8740,11555,16480,12085,6205,9745,7550,10810,11140,8280,7085,9730,6415,9720,8990,6855,8000,6520,5380,4010,2905
01/01/2018,136495,136415,78570,57290,14660,30835,26145,19370,23000,9265,11760,17065,12530,6650,10035,7745,11105,11445,8395,7215,9920,6510,9940,9230,7000,8155,6660,5460,4120,2975
