Date,India,Philippines,China,Syria,Nigeria,Pakistan,USA,France,Iran,Afghanistan,Eritrea,UK,Korea,Brazil,Mexico,Vietnam,Jamaica,Iraq,Algeria,Morocco,Bangladesh,Cameroon,Egypt,Ukraine,Colombia,Haiti,Congo,Lebanon,Tunisia,Turkey
01/01/2015,1560,2535,950,110,260,505,455,300,1060,90,115,320,175,100,195,90,180,70,80,125,110,75,175,120,125,105,70,105,50,50
01/02/2015,1980,3880,1570,220,310,705,450,315,1050,125,170,305,235,115,185,165,175,190,125,155,145,85,165,155,200,130,105,85,65,65
01/03/2015,2630,3935,1655,415,380,1010,470,515,1730,220,250,400,395,155,270,180,280,190,235,280,315,150,245,160,265,185,175,165,80,60
01/04/2015,2965,4560,1415,185,325,815,565,605,930,135,165,435,485,155,285,155,285,170,255,260,260,150,265,155,225,165,75,155,140,55
01/05/2015,3480,5175,1440,265,290,1180,740,525,1095,220,150,460,380,215,270,150,340,330,340,270,325,160,410,160,210,240,125,205,95,75
01/06/2015,4195,5575,1760,530,295,1095,750,675,1495,195,255,500,400,175,265,190,345,365,280,190,290,200,495,205,230,265,135,250,105,90
01/07/2015,4660,4785,2100,250,390,1190,760,680,1235,250,195,455,395,220,305,250,400,535,310,355,280,315,565,230,195,255,95,310,130,105
01/08/2015,3645,4205,1775,230,470,1060,855,740,690,145,165,575,395,165,350,205,355,285,280,215,290,160,455,260,165,220,90,185,130,75
01/09/2015,4520,5240,1810,480,390,1105,660,435,760,375,175,510,325,135,340,430,280,460,355,265,345,225,415,280,135,280,170,205,150,105
01/10/2015,3860,4020,2010,670,350,930,630,390,700,270,175,550,400,110,250,300,245,500,225,260,465,130,240,245,140,200,175,145,125,60
01/11/2015,3085,3830,1450,515,260,875,630,320,450,335,230,450,295,90,260,270,225,555,170,180,250,180,155,195,130,260,180,115,105,65
01/12/2015,2755,3105,1520,5980,375,830,690,340,435,265,165,400,225,95,245,215,310,330,175,155,235,200,175,180,160,410,280,180,100,65
