Date,India,Philippines,"China, People's Republic of",Syria,Nigeria,Pakistan,United States of America,Afghanistan,Iran,France,Eritrea,United Kingdom and Overseas Territories,Brazil,"Korea, Republic of","Cameroon, Federal Republic of",Vietnam,Mexico,Algeria,Morocco,Jamaica,Bangladesh,Iraq,Ukraine,Egypt,Colombia,Haiti,"Congo, Democratic Republic of the",Hong Kong SAR,"Somalia, Democratic Republic of",Tunisia
01/01/2015,1560,2535,950,110,260,505,455,90,1060,300,115,320,100,175,75,90,195,80,125,180,110,70,120,175,125,105,70,60,90,50
01/02/2015,3540,6415,2520,330,570,1210,905,215,2110,615,285,625,215,410,160,255,380,205,280,355,255,260,275,340,325,235,175,125,175,115
01/03/2015,6170,10350,4175,745,950,2220,1375,435,3840,1130,535,1025,370,805,310,435,650,440,560,635,570,450,435,585,590,420,350,200,260,195
01/04/2015,9135,14910,5590,930,1275,3035,1940,570,4770,1735,700,1460,525,1290,460,590,935,695,820,920,830,620,590,850,815,585,425,240,310,335
01/05/2015,12615,20085,7030,1195,1565,4215,2680,790,5865,2260,850,1920,740,1670,620,740,1205,1035,1090,1260,1155,950,750,1260,1025,825,550,310,375,430
01/06/2015,16810,25660,8790,1725,1860,5310,3430,985,7360,2935,1105,2420,915,2070,820,930,1470,1315,1280,1605,1445,1315,955,1755,1255,1090,685,390,470,535
01/07/2015,21470,30445,10890,1975,2250,6500,4190,1235,8595,3615,1300,2875,1135,2465,1135,1180,1775,1625,1635,2005,1725,1850,1185,2320,1450,1345,780,465,590,665
01/08/2015,25115,34650,12665,2205,2720,7560,5045,1380,9285,4355,1465,3450,1300,2860,1295,1385,2125,1905,1850,2360,2015,2135,1445,2775,1615,1565,870,575,650,795
01/09/2015,29635,39890,14475,2685,3110,8665,5705,1755,10045,4790,1640,3960,1435,3185,1520,1815,2465,2260,2115,2640,2360,2595,1725,3190,1750,1845,1040,650,740,945
01/10/2015,33495,43910,16485,3355,3460,9595,6335,2025,10745,5180,1815,4510,1545,3585,1650,2115,2715,2485,2375,2885,2825,3095,1970,3430,1890,2045,1215,730,920,1070
01/11/2015,36580,47740,17935,3870,3720,10470,6965,2360,11195,5500,2045,4960,1635,3880,1830,2385,2975,2655,2555,3110,3075,3650,2165,3585,2020,2305,1395,795,1020,1175
01/12/2015,39335,50845,19455,9850,4095,11300,7655,2625,11630,5840,2210,5360,1730,4105,2030,2600,3220,2830,2710,3420,3310,3980,2345,3760,2180,2715,1675,890,1165,1275
01/01/2016,41720,53780,21155,19080,4355,11970,8355,2840,12055,6300,2440,5965,1855,4510,2165,2820,3520,2925,2835,3670,3550,4145,2530,3960,2340,2970,1785,990,1225,1350
01/02/2016,44875,57190,23240,29925,4625,12910,9120,3135,12515,6980,2690,6535,2000,4985,2320,3035,3885,3025,3000,3910,3860,4305,2805,4175,2525,3170,1925,1085,1315,1440
01/03/2016,49580,61465,25670,30355,4995,14130,9950,3395,13320,7730,2955,7160,2190,5435,2490,3325,4255,3240,3205,4200,4205,4545,3150,4515,2735,3435,2135,1210,1435,1540
01/04/2016,54625,66575,28635,31190,5410,15280,10760,3680,13990,8285,3310,7705,2325,5765,2610,3530,4585,3540,3405,4450,4525,4775,3450,4825,3020,3750,2320,1335,1525,1640
01/05/2016,59595,71665,30830,32190,5990,16640,11625,3880,14755,8975,3780,8315,2480,6185,2795,3735,4925,3870,3590,4770,4795,5085,3795,5155,3260,4045,2650,1440,1680,1800
