Date,India,Philippines,"China, People's Republic of",Syria,Nigeria,Pakistan,United States of America,Afghanistan,Iran,France,Eritrea,United Kingdom and Overseas Territories,Brazil,"Korea, Republic of","Cameroon, Federal Republic of",Vietnam,Mexico,Algeria,Morocco,Jamaica,Bangladesh,Iraq,Ukraine,Egypt,Colombia,Haiti,"Congo, Democratic Republic of the",Hong Kong SAR,"Somalia, Democratic Republic of",Tunisia
01/01/2015,1560.00,2535.00,950.00,110.00,260.00,505.00,455.00,90.00,1060.00,300.00,115.00,320.00,100.00,175.00,75.00,90.00,195.00,80.00,125.00,180.00,110.00,70.00,120.00,175.00,125.00,105.00,70.00,60.00,90.00,50.00
01/02/2015,1980.00,3880.00,1570.00,220.00,310.00,705.00,450.00,125.00,1050.00,315.00,170.00,305.00,115.00,235.00,85.00,165.00,185.00,125.00,155.00,175.00,145.00,190.00,155.00,165.00,200.00,130.00,105.00,65.00,85.00,65.00
01/03/2015,2630.00,3935.00,1655.00,415.00,380.00,1010.00,470.00,220.00,1730.00,515.00,250.00,400.00,155.00,395.00,150.00,180.00,270.00,235.00,280.00,280.00,315.00,190.00,160.00,245.00,265.00,185.00,175.00,75.00,85.00,80.00
01/04/2015,2965.00,4560.00,1415.00,185.00,325.00,815.00,565.00,135.00,930.00,605.00,165.00,435.00,155.00,485.00,150.00,155.00,285.00,255.00,260.00,285.00,260.00,170.00,155.00,265.00,225.00,165.00,75.00,40.00,50.00,140.00
01/05/2015,3480.00,5175.00,1440.00,265.00,290.00,1180.00,740.00,220.00,1095.00,525.00,150.00,460.00,215.00,380.00,160.00,150.00,270.00,340.00,270.00,340.00,325.00,330.00,160.00,410.00,210.00,240.00,125.00,70.00,65.00,95.00
01/06/2015,4195.00,5575.00,1760.00,530.00,295.00,1095.00,750.00,195.00,1495.00,675.00,255.00,500.00,175.00,400.00,200.00,190.00,265.00,280.00,190.00,345.00,290.00,365.00,205.00,495.00,230.00,265.00,135.00,80.00,95.00,105.00
01/07/2015,4660.00,4785.00,2100.00,250.00,390.00,1190.00,760.00,250.00,1235.00,680.00,195.00,455.00,220.00,395.00,315.00,250.00,305.00,310.00,355.00,400.00,280.00,535.00,230.00,565.00,195.00,255.00,95.00,75.00,120.00,130.00
01/08/2015,3645.00,4205.00,1775.00,230.00,470.00,1060.00,855.00,145.00,690.00,740.00,165.00,575.00,165.00,395.00,160.00,205.00,350.00,280.00,215.00,355.00,290.00,285.00,260.00,455.00,165.00,220.00,90.00,110.00,60.00,130.00
01/09/2015,4520.00,5240.00,1810.00,480.00,390.00,1105.00,660.00,375.00,760.00,435.00,175.00,510.00,135.00,325.00,225.00,430.00,340.00,355.00,265.00,280.00,345.00,460.00,280.00,415.00,135.00,280.00,170.00,75.00,90.00,150.00
01/10/2015,3860.00,4020.00,2010.00,670.00,350.00,930.00,630.00,270.00,700.00,390.00,175.00,550.00,110.00,400.00,130.00,300.00,250.00,225.00,260.00,245.00,465.00,500.00,245.00,240.00,140.00,200.00,175.00,80.00,180.00,125.00
01/11/2015,3085.00,3830.00,1450.00,515.00,260.00,875.00,630.00,335.00,450.00,320.00,230.00,450.00,90.00,295.00,180.00,270.00,260.00,170.00,180.00,225.00,250.00,555.00,195.00,155.00,130.00,260.00,180.00,65.00,100.00,105.00
01/12/2015,2755.00,3105.00,1520.00,5980.00,375.00,830.00,690.00,265.00,435.00,340.00,165.00,400.00,95.00,225.00,200.00,215.00,245.00,175.00,155.00,310.00,235.00,330.00,180.00,175.00,160.00,410.00,280.00,95.00,145.00,100.00
01/01/2016,2385.00,2935.00,1700.00,9230.00,260.00,670.00,700.00,215.00,425.00,460.00,230.00,605.00,125.00,405.00,135.00,220.00,300.00,95.00,125.00,250.00,240.00,165.00,185.00,200.00,160.00,255.00,110.00,100.00,60.00,75.00
01/02/2016,3155.00,3410.00,2085.00,10845.00,270.00,940.00,765.00,295.00,460.00,680.00,250.00,570.00,145.00,475.00,155.00,215.00,365.00,100.00,165.00,240.00,310.00,160.00,275.00,215.00,185.00,200.00,140.00,95.00,90.00,90.00
01/03/2016,4705.00,4275.00,2430.00,430.00,370.00,1220.00,830.00,260.00,805.00,750.00,265.00,625.00,190.00,450.00,170.00,290.00,370.00,215.00,205.00,290.00,345.00,240.00,345.00,340.00,210.00,265.00,210.00,125.00,120.00,100.00
01/04/2016,5045.00,5110.00,2965.00,835.00,415.00,1150.00,810.00,285.00,670.00,555.00,355.00,545.00,135.00,330.00,120.00,205.00,330.00,300.00,200.00,250.00,320.00,230.00,300.00,310.00,285.00,315.00,185.00,125.00,90.00,100.00
01/05/2016,4970.00,5090.00,2195.00,1000.00,580.00,1360.00,865.00,200.00,765.00,690.00,470.00,610.00,155.00,420.00,185.00,205.00,340.00,330.00,185.00,320.00,270.00,310.00,345.00,330.00,240.00,295.00,330.00,105.00,155.00,160.00
01/06/2016,4750.00,4715.00,3180.00,1235.00,615.00,1210.00,885.00,255.00,955.00,730.00,480.00,535.00,215.00,430.00,195.00,255.00,310.00,245.00,190.00,320.00,265.00,440.00,410.00,335.00,270.00,335.00,355.00,165.00,165.00,110.00
01/07/2016,3245.00,3830.00,2960.00,1070.00,525.00,1230.00,825.00,210.00,625.00,600.00,330.00,520.00,170.00,320.00,245.00,250.00,345.00,585.00,285.00,380.00,325.00,255.00,290.00,485.00,260.00,290.00,245.00,175.00,110.00,180.00
01/08/2016,2195.00,2945.00,2445.00,805.00,400.00,880.00,725.00,125.00,465.00,550.00,835.00,480.00,115.00,210.00,205.00,165.00,255.00,255.00,170.00,350.00,215.00,280.00,300.00,295.00,215.00,265.00,130.00,150.00,105.00,120.00
01/09/2016,2310.00,3075.00,2100.00,1675.00,360.00,705.00,625.00,275.00,365.00,355.00,360.00,395.00,105.00,215.00,215.00,185.00,240.00,220.00,140.00,275.00,250.00,130.00,290.00,235.00,160.00,220.00,275.00,105.00,155.00,100.00
01/10/2016,2395.00,1915.00,1875.00,1990.00,255.00,820.00,565.00,255.00,390.00,325.00,425.00,340.00,110.00,190.00,165.00,160.00,210.00,190.00,185.00,205.00,270.00,80.00,225.00,125.00,230.00,200.00,185.00,75.00,100.00,95.00
01/11/2016,2050.00,1815.00,1455.00,2405.00,175.00,575.00,430.00,160.00,280.00,235.00,375.00,235.00,115.00,245.00,155.00,125.00,200.00,130.00,130.00,245.00,225.00,65.00,200.00,110.00,140.00,175.00,175.00,50.00,80.00,70.00
01/12/2016,2500.00,2735.00,1395.00,3485.00,190.00,590.00,455.00,120.00,260.00,460.00,280.00,350.00,145.00,320.00,155.00,175.00,125.00,150.00,130.00,435.00,195.00,65.00,180.00,110.00,90.00,115.00,150.00,100.00,85.00,105.00
01/01/2017,3350.00,3750.00,2260.00,570.00,300.00,490.00,760.00,230.00,265.00,625.00,455.00,670.00,185.00,520.00,170.00,145.00,430.00,140.00,140.00,365.00,185.00,155.00,265.00,125.00,135.00,125.00,100.00,90.00,55.00,100.00
01/02/2017,3400.00,3320.00,2505.00,1250.00,230.00,625.00,715.00,375.00,390.00,660.00,535.00,490.00,165.00,450.00,190.00,195.00,300.00,120.00,175.00,365.00,205.00,445.00,295.00,180.00,195.00,105.00,125.00,100.00,90.00,85.00
01/03/2017,4340.00,3590.00,3025.00,2435.00,345.00,725.00,870.00,325.00,750.00,715.00,650.00,455.00,155.00,440.00,205.00,250.00,290.00,270.00,235.00,390.00,295.00,270.00,365.00,205.00,275.00,170.00,185.00,115.00,165.00,140.00
01/04/2017,3845.00,4430.00,3220.00,1230.00,265.00,645.00,770.00,330.00,425.00,605.00,350.00,405.00,205.00,310.00,185.00,200.00,260.00,280.00,220.00,270.00,275.00,280.00,275.00,195.00,205.00,240.00,155.00,150.00,95.00,115.00
01/05/2017,4255.00,4500.00,2500.00,1050.00,280.00,645.00,745.00,210.00,510.00,555.00,440.00,445.00,210.00,305.00,185.00,210.00,250.00,210.00,270.00,295.00,350.00,460.00,300.00,220.00,260.00,210.00,295.00,130.00,130.00,150.00
01/06/2017,4635.00,4355.00,2960.00,1075.00,365.00,695.00,850.00,210.00,665.00,645.00,345.00,380.00,225.00,330.00,295.00,315.00,270.00,250.00,255.00,290.00,305.00,490.00,380.00,335.00,215.00,265.00,290.00,125.00,180.00,90.00
01/07/2017,4230.00,3380.00,2735.00,925.00,495.00,800.00,655.00,310.00,540.00,545.00,490.00,340.00,235.00,260.00,215.00,240.00,265.00,505.00,230.00,330.00,390.00,685.00,265.00,310.00,260.00,260.00,265.00,110.00,100.00,205.00
01/08/2017,3960.00,2930.00,2715.00,585.00,480.00,645.00,795.00,280.00,295.00,605.00,305.00,445.00,300.00,265.00,145.00,230.00,275.00,205.00,170.00,275.00,250.00,310.00,230.00,335.00,165.00,175.00,110.00,140.00,90.00,110.00
01/09/2017,4760.00,2795.00,2305.00,830.00,635.00,615.00,600.00,235.00,260.00,475.00,230.00,370.00,295.00,205.00,195.00,190.00,185.00,215.00,140.00,305.00,295.00,445.00,280.00,275.00,110.00,160.00,305.00,95.00,135.00,175.00
01/10/2017,4970.00,2140.00,2410.00,805.00,680.00,560.00,755.00,290.00,250.00,410.00,235.00,430.00,270.00,290.00,155.00,185.00,220.00,145.00,130.00,240.00,230.00,255.00,215.00,235.00,100.00,180.00,105.00,90.00,115.00,95.00
01/11/2017,4870.00,2380.00,1610.00,620.00,545.00,510.00,705.00,405.00,185.00,370.00,260.00,380.00,250.00,285.00,185.00,140.00,180.00,145.00,125.00,250.00,145.00,385.00,215.00,205.00,125.00,260.00,185.00,85.00,110.00,75.00
01/12/2017,4970.00,3330.00,2005.00,685.00,825.00,700.00,920.00,260.00,200.00,410.00,395.00,500.00,255.00,310.00,160.00,200.00,210.00,150.00,175.00,455.00,265.00,560.00,215.00,250.00,185.00,205.00,235.00,135.00,120.00,90.00
01/01/2018,5870.00,2820.00,2080.00,375.00,705.00,530.00,870.00,525.00,170.00,520.00,205.00,585.00,445.00,445.00,95.00,195.00,290.00,115.00,130.00,295.00,190.00,305.00,240.00,220.00,145.00,155.00,140.00,100.00,95.00,110.00
01/02/2018,6120.00,2790.00,2625.00,675.00,745.00,785.00,795.00,295.00,225.00,500.00,370.00,585.00,410.00,480.00,170.00,190.00,270.00,150.00,175.00,330.00,295.00,305.00,350.00,215.00,180.00,265.00,255.00,120.00,70.00,140.00
